Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp	
IO_all_DCM_0_8_5_00_bin_104	8377	8377	2165	219	2	0	37074820	37074820	15520088	2726308	53167	0	8377	26595	37074820	58.27	4531	3373	2799	5188	0.00
IO_all_DCM_0_8_5_00_bin_107	851	851	33	0	0	0	2801896	2801896	188909	0	0	0	851	7676	2801896	44.45	3208	2815	352	586	0.00
IO_all_DCM_0_8_5_00_bin_111	7112	7112	1720	178	2	0	30740252	30740252	12314358	2329232	67257	0	7112	38823	30740252	62.86	4424	3270	2372	4416	0.00
IO_all_DCM_0_8_5_00_bin_12	9102	9102	2210	176	0	0	39191221	39191221	15279501	2168595	0	0	9102	24846	39191221	62.08	4404	3330	3132	5702	0.00
IO_all_DCM_0_8_5_00_bin_120	1415	1415	1021	586	156	19	17055374	17055374	15579731	12443612	5736103	1136508	1415	93546	17055374	66.20	17298	9435	291	622	0.00
IO_all_DCM_0_8_5_00_bin_130	1828	1828	108	1	0	0	6216056	6216056	646516	10967	0	0	1828	10967	6216056	58.76	3307	2843	738	1245	0.00
IO_all_DCM_0_8_5_00_bin_147	2202	2202	195	6	0	0	7798024	7798024	1200476	75211	0	0	2202	14975	7798024	49.71	3480	2895	859	1477	0.00
IO_all_DCM_0_8_5_00_bin_157	5508	5508	1626	208	1	0	25519293	25519293	11988952	2613370	28803	0	5508	28803	25519293	33.14	4794	3493	1784	3349	0.00
IO_all_DCM_0_8_5_00_bin_17	2657	2657	736	70	0	0	11967780	11967780	5212218	921112	0	0	2657	24714	11967780	65.22	4635	3506	897	1648	0.00
IO_all_DCM_0_8_5_00_bin_21	4387	4387	843	48	0	0	17808078	17808078	5642691	591598	0	0	4387	17817	17808078	51.40	4041	3204	1572	2813	0.00
IO_all_DCM_0_8_5_00_bin_230	7262	7262	2195	235	0	0	33529673	33529673	15793518	2911227	0	0	7262	21371	33529673	40.97	4810	3517	2394	4443	0.00
